id,name,category,price_ugx,price_high_ugx,condition,availability,note
valentino-born-in-roma-donna,Valentino Donna Born in Roma Eau de Parfum,Fragrance & Grooming,,,,,
armani-prive-rouge-malachite,Armani/Privé Rouge Malachite Eau de Parfum,Fragrance & Grooming,,,,,
carolina-herrera-212-vip-men,Carolina Herrera 212 VIP Men Eau de Toilette,Fragrance & Grooming,,,,,
braun-series-5-51-b1000s,Braun Series 5 51-B1000s EasyClean,Fragrance & Grooming,,,,,
philips-mg5921-15,Philips All-in-One Trimmer 5000 MG5921/15,Fragrance & Grooming,,,,,
jbl-tune-770nc,JBL Tune 770NC Wireless Headphones,Audio,,,,,
bose-soundlink-max,Bose SoundLink Max Portable Speaker,Audio,,,,,
ride-5-ps5,RIDE 5 — PlayStation 5,Game Discs,,,,,
ea-sports-fc-26,EA SPORTS FC 26 — PlayStation,Game Discs,,,,,
super-mario-party-jamboree,Super Mario Party Jamboree — Nintendo Switch,Game Discs,,,,,
witcher-3-switch,The Witcher 3: Wild Hunt — Nintendo Switch,Game Discs,,,,,
thinkpad-pro-topload-gen2,ThinkPad Professional 16″ Topload Gen 2,Laptop Bags,,,,,
lenovo-t210-black,Lenovo T210 Laptop Casual Toploader — Black,Laptop Bags,,,,,
thinkpad-tl620-brown,ThinkPad TL620 Brown Business Tote,Laptop Bags,,,,,
pierre-cardin-softshell-72,Pierre Cardin 72cm Soft-Shell Trolley Case,Travel & Trolley Bags,,,,,
pierre-cardin-pc1844,Pierre Cardin PC1844 Mobile Office Cabin Case,Travel & Trolley Bags,,,,,
hp-smart-tank-580,HP Smart Tank 580 Wireless All-in-One Printer,Accessories,,,,,
jbl-partybox-stage-320,JBL PartyBox Stage 320,Audio,,,,,
powerology-rotating-stand-projector,Powerology Rotating Stand Portable Projector,Accessories,,,,,
rayban-meta-smart-glasses,Ray-Ban Meta Smart Glasses,Accessories,,,,,
huawei-watch-gt6-pro,HUAWEI WATCH GT 6 Pro,Smart Watches,,,,,
huawei-watch-ultimate-2,HUAWEI WATCH Ultimate 2,Smart Watches,,,,,
green-lion-strive-smart-watch,Green Lion Strive Smart Watch,Smart Watches,,,,,
porodo-sovo-10000mah,Porodo Sovo 10000mAh MagSafe Power Bank,Accessories,,,,,
